0.303, 0.030, 0.061, 0.061, 0.273, 0.273
0.273, 0.061, 0.030, 0.091, 0.273, 0.273
0.250, 0.063, 0.031, 0.125, 0.281, 0.250
0.242, 0.061, 0.030, 0.212, 0.242, 0.212
0.286, 0.057, 0.057, 0.114, 0.229, 0.257
0.270, 0.054, 0.243, 0.108, 0.135, 0.189
0.205, 0.051, 0.205, 0.103, 0.205, 0.231
0.225, 0.075, 0.200, 0.100, 0.225, 0.175
0.243, 0.081, 0.216, 0.108, 0.216, 0.135
0.222, 0.139, 0.167, 0.139, 0.222, 0.111
0.242, 0.091, 0.212, 0.152, 0.212, 0.091
0.250, 0.031, 0.219, 0.156, 0.094, 0.250
0.226, 0.129, 0.161, 0.194, 0.065, 0.226
0.189, 0.027, 0.189, 0.189, 0.189, 0.216
0.212, 0.121, 0.212, 0.242, 0.061, 0.152
0.184, 0.132, 0.211, 0.184, 0.079, 0.211
0.200, 0.100, 0.200, 0.150, 0.125, 0.225
0.216, 0.108, 0.189, 0.189, 0.054, 0.243
0.154, 0.179, 0.179, 0.231, 0.051, 0.205
0.167, 0.167, 0.194, 0.222, 0.083, 0.167
0.194, 0.194, 0.129, 0.097, 0.226, 0.161
0.167, 0.139, 0.194, 0.194, 0.167, 0.139
0.235, 0.147, 0.176, 0.176, 0.118, 0.147
0.176, 0.147, 0.176, 0.147, 0.147, 0.206
0.147, 0.206, 0.176, 0.176, 0.088, 0.206
0.172, 0.241, 0.103, 0.103, 0.138, 0.241
0.241, 0.276, 0.172, 0.103, 0.069, 0.138
0.333, 0.250, 0.125, 0.083, 0.042, 0.167
0.200, 0.320, 0.200, 0.080, 0.120, 0.080
0.240, 0.360, 0.080, 0.120, 0.120, 0.080
0.227, 0.409, 0.091, 0.136, 0.045, 0.091
0.292, 0.375, 0.083, 0.125, 0.042, 0.083